Human.Gene	Mouse.Gene	Gene.Type	Cell.Type	Tissue.of.Origin	Reference	Added.By	Added.Date	Comments
PPARG	Pparg	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
PPARA	Ppara	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
FOXF1	Foxf1	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ALB	Alb	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
NR1H4	Nr1h4	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
SEMA7A	Sema7a	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
PNPLA3	Pnpla3	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
WT1	Wt1	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
FGF10	Fgf10	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
GFAP	Gfap	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
NGFR	Ngfr	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
VEGFA	Vegfa	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ACTA2	Acta2	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
MYB	Myb	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
DES	Des	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
FAP	Fap	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
SLC8A1	Slc8a1	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
RELN	Reln	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
SYP	Syp	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
VCL	Vcl	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
TIMP1	Timp1	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
COL1A1	Col1a1	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
TAGLN	Tagln	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
COL1A2	Col1a2	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
SPARC	Sparc	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
RBP1	Rbp1	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
DCN	Dcn	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
MYL9	Myl9	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
BGN	Bgn	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
IGFBP7	Igfbp7	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
IGFBP3	Igfbp3	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
OLFML3	Olfml3	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
IGFBP6	Igfbp6	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
CCL2	Ccl2	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
COLEC11	Colec11	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
HGF	Hgf	protein-coding gene	Hepatic stellate cells	Liver	PanglaoDB	PanglaoDB	2022-07-05	
AFP	Afp	protein-coding gene	Hepatoblasts	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ALB	Alb	protein-coding gene	Hepatoblasts	Liver	PanglaoDB	PanglaoDB	2022-07-05	
CEBPA	Cebpa	protein-coding gene	Hepatoblasts	Liver	PanglaoDB	PanglaoDB	2022-07-05	
KRT14	Krt14	protein-coding gene	Hepatoblasts	Liver	PanglaoDB	PanglaoDB	2022-07-05	
DLK1	Dlk1	protein-coding gene	Hepatoblasts	Liver	PanglaoDB	PanglaoDB	2022-07-05	
CDH1	Cdh1	protein-coding gene	Hepatoblasts	Liver	PanglaoDB	PanglaoDB	2022-07-05	
FOXM1	Foxm1	protein-coding gene	Hepatoblasts	Liver	PanglaoDB	PanglaoDB	2022-07-05	
GGT1	Ggt1	protein-coding gene	Hepatoblasts	Liver	PanglaoDB	PanglaoDB	2022-07-05	
HNF4A	Hnf4a	protein-coding gene	Hepatoblasts	Liver	PanglaoDB	PanglaoDB	2022-07-05	
PROX1	Prox1	protein-coding gene	Hepatoblasts	Liver	PanglaoDB	PanglaoDB	2022-07-05	
MAP2K4	Map2k4	protein-coding gene	Hepatoblasts	Liver	PanglaoDB	PanglaoDB	2022-07-05	
SMAD5	Smad5	protein-coding gene	Hepatoblasts	Liver	PanglaoDB	PanglaoDB	2022-07-05	
KRT18	Krt18	protein-coding gene	Hepatoblasts	Liver	PanglaoDB	PanglaoDB	2022-07-05	
KRT8	Krt8	protein-coding gene	Hepatoblasts	Liver	PanglaoDB	PanglaoDB	2022-07-05	
HNF1B	Hnf1b	protein-coding gene	Hepatoblasts	Liver	PanglaoDB	PanglaoDB	2022-07-05	
MET	Met	protein-coding gene	Hepatoblasts	Liver	PanglaoDB	PanglaoDB	2022-07-05	
FOSL1	Fosl1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
UCP2	Ucp2	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
GCK	Gck	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
LRP5	Lrp5	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
SLC10A1	Slc10a1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
NOS2	Nos2	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ATP7B	Atp7b	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
HNF4A	Hnf4a	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
GJB2	Gjb2	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
FGFR4	Fgfr4	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
PROX1	Prox1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
CRP	Crp	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
SLC2A2	Slc2a2	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
TFR2	Tfr2	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
KIF13B	Kif13b	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
LIPC	Lipc	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
VDR	Vdr	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ASGR1	Asgr1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ARG1	Arg1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
AFP	Afp	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ALB	Alb	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
G6PC	G6pc	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
OTC	Otc	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
UGT1A1	Ugt1a1	other	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ZHX2	Zhx2	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
FOXA3	Foxa3	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
FOXA2	Foxa2	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
FOXA1	Foxa1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
CYP7A1	Cyp7a1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
CYP2E1	Cyp2e1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
CYP1A2	Cyp1a2	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
CEBPA	Cebpa	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
CDH1	Cdh1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
GPC3	Gpc3	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
AHR	Ahr	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
CYP1A1	Cyp1a1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
NR1I3	Nr1i3	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
CPS1	Cps1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
GLS2	Gls2	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
PCK1	Pck1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
TAT	Tat	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
WT1	Wt1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
PRRG4	Prrg4	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
SULT1A1	Sult3a2	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
APOH	Apoh	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
CTNNB1	Ctnnb1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ABCC3	Abcc3	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
FGB	Fgb	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
AQP3	Aqp3	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
PLSCR1	Plscr1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
FGA	Fga	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
APOB	Apob	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ANG	Ang	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ANXA13	Anxa13	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
SAT2	Sat2	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
SFRP5	Sfrp5	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
A1CF	A1cf	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
APOA1	Apoa1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
BNIP3	Bnip3	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
FGL1	Fgl1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
PAH	Pah	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
SERPINA6	Serpina6	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
APOA2	Apoa2	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
AZGP1	Azgp1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
FGG	Fgg	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
APOC3	Apoc3	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
TM4SF4	Tm4sf4	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
GC	Gc	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
AMBP	Ambp	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ORM1	Orm1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
TTR	Ttr	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
HAL	Hal	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ASS1	Ass1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
HMGCS1	Hmgcs1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ACSS2	Acss2	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
TM7SF2	Tm7sf2	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
SEC16B	Sec16b	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
SLBP	Slbp	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
RND3	Rnd3	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
BCHE	Bche	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
GHR	Ghr	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ALDH6A1	Aldh6a1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
MASP2	Masp2	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
HAMP	Hamp	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
GLUL	Glul	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ACLY	Acly	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ASL	Asl	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
TMEM97	Tmem97	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
CP	Cp	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
SLPI	Slpi	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ACAT2	Acat2	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
TM4SF5	Tm4sf5	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
MSMO1	Msmo1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
LEPR	Lepr	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
RCAN1	Rcan1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
AR	Ar	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
PLIN1	Plin1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
RPP25L	Rpp25l	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
HSD11B1	Hsd11b1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
APOM	Apom	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
TKFC	Tkfc	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
G0S2	G0s2	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
PON3	Pon3	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
TTC36	Ttc36	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
GOLT1A	Golt1a	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
FST	Fst	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
MCC	Mcc	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
AQP9	Aqp9	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
NNT	Nnt	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
SAA4	Saa4	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
MRPS18C	Mrps18c	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
OCIAD1	Ociad1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
APOA5	Apoa5	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ENTPD5	Entpd5	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
C4B	C4b	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
EID2	Eid2	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ATIC	Atic	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
SERPINH1	Serpinh1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
SAMD5	Samd5	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
GRB14	Grb14	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ABCD3	Abcd3	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
RHOB	Rhob	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
EPB41L4B	Epb41l4b	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
GPAT4	Gpat4	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
SPTBN1	Sptbn1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
SDC2	Sdc2	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
PHLDA1	Phlda1	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
WTAP	Wtap	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
ACADM	Acadm	protein-coding gene	Hepatocytes	Liver	PanglaoDB	PanglaoDB	2022-07-05	
GJA5	Gja5	protein-coding gene	His bundle cells	Heart	PanglaoDB	PanglaoDB	2022-07-05	
GJC1	Gjc1	protein-coding gene	His bundle cells	Heart	PanglaoDB	PanglaoDB	2022-07-05	
KCNK3	Kcnk3	protein-coding gene	His bundle cells	Heart	PanglaoDB	PanglaoDB	2022-07-05	
PAX6	Pax6	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
PCLO	Pclo	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
CUX2	Cux2	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
SLC12A5	Slc12a5	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
POMC	Pomc	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
STIM2	Stim2	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
RAX	Rax	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
CUL5	Cul5	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
HIVEP2	Hivep2	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
FUT9	Fut9	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
TBR1	Tbr1	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
PROX1	Prox1	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
NTRK3	Ntrk3	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
RND2	Rnd2	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
FEZF2	Fezf2	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
SOX5	Sox5	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
ROBO1	Robo1	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
EPHA7	Epha7	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
EPHA3	Epha3	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
SLC1A1	Slc1a1	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
NOTCH3	Notch3	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
NOTCH1	Notch1	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
LHX6	Lhx6	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
NES	Nes	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
RBFOX3	Rbfox3	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
CREB1	Creb1	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
NEUROD1	Neurod1	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
ASCL1	Ascl1	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
NTRK1	Ntrk1	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
SYN1	Syn1	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
NF1	Nf1	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
BCL2	Bcl2	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
SLC6A5	Slc6a5	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
FOXD2	Foxd2	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
ICAM5	Icam5	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
SSTR2	Sstr2	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
NEUROG2	Neurog2	protein-coding gene	Immature neurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
FOXI1	Foxi1	protein-coding gene	Intercalated cells	Kidney	PanglaoDB	PanglaoDB	2022-07-05	
SLC26A11	Slc26a11	protein-coding gene	Intercalated cells	Kidney	PanglaoDB	PanglaoDB	2022-07-05	
CLCNKB	Clcnkb	protein-coding gene	Intercalated cells	Kidney	PanglaoDB	PanglaoDB	2022-07-05	
SLC4A1	Slc4a1	protein-coding gene	Intercalated cells	Kidney	PanglaoDB	PanglaoDB	2022-07-05	
SLC26A4	Slc26a4	protein-coding gene	Intercalated cells	Kidney	PanglaoDB	PanglaoDB	2022-07-05	
ATP6V1B1	Atp6v1b1	protein-coding gene	Intercalated cells	Kidney	PanglaoDB	PanglaoDB	2022-07-05	
SLC4A8	Slc4a8	protein-coding gene	Intercalated cells	Kidney	PanglaoDB	PanglaoDB	2022-07-05	
ATP6V1C2	Atp6v1c2	protein-coding gene	Intercalated cells	Kidney	PanglaoDB	PanglaoDB	2022-07-05	
ATP6V1G3	Atp6v1g3	protein-coding gene	Intercalated cells	Kidney	PanglaoDB	PanglaoDB	2022-07-05	
ATP6V0D2	Atp6v0d2	protein-coding gene	Intercalated cells	Kidney	PanglaoDB	PanglaoDB	2022-07-05	
OXGR1	Oxgr1	protein-coding gene	Intercalated cells	Kidney	PanglaoDB	PanglaoDB	2022-07-05	
RHCG	Rhcg	protein-coding gene	Intercalated cells	Kidney	PanglaoDB	PanglaoDB	2022-07-05	
TMEM213	Tmem213	protein-coding gene	Intercalated cells	Kidney	PanglaoDB	PanglaoDB	2022-07-05	
EGF	Egf	protein-coding gene	Intercalated cells	Kidney	PanglaoDB	PanglaoDB	2022-07-05	
FXYD2	Fxyd2	protein-coding gene	Intercalated cells	Kidney	PanglaoDB	PanglaoDB	2022-07-05	
AVPR1A	Avpr1a	protein-coding gene	Intercalated cells	Kidney	PanglaoDB	PanglaoDB	2022-07-05	
RHBG	Rhbg	protein-coding gene	Intercalated cells	Kidney	PanglaoDB	PanglaoDB	2022-07-05	
JAG1	Jag1	protein-coding gene	Intercalated cells	Kidney	PanglaoDB	PanglaoDB	2022-07-05	
ADGRF5	Adgrf5	protein-coding gene	Intercalated cells	Kidney	PanglaoDB	PanglaoDB	2022-07-05	
CALB1	Calb1	protein-coding gene	Interneurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
CCK	Cck	protein-coding gene	Interneurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
CHAT	Chat	protein-coding gene	Interneurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
VSX2	Vsx2	protein-coding gene	Interneurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
EN1	En1	protein-coding gene	Interneurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
ETV1	Etv1	protein-coding gene	Interneurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
EVX1	Evx1	protein-coding gene	Interneurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
GAD1	Gad1	protein-coding gene	Interneurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
ISL1	Isl1	protein-coding gene	Interneurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
LHX1	Lhx1	protein-coding gene	Interneurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
LHX5	Lhx5	protein-coding gene	Interneurons	Brain	PanglaoDB	PanglaoDB	2022-07-05	
